interpolated_c1_times,interpolated_c1_x_coords,interpolated_c1_y_coords
12552,-61.474902346768324,15.365140571219515
12553,-61.47489913609674,15.365134982578065
12554,-61.47489597410588,15.365129508103376
12555,-61.474892860795705,15.365124147795452
12556,-61.47488979616627,15.365118901654295
12557,-61.47488678021756,15.365113769679901
12558,-61.474883812949564,15.365108751872276
12559,-61.47488089436229,15.365103848231414
12560,-61.47487802445571,15.36509905875731
12561,-61.47487520322989,15.365094383449982
12562,-61.47487243068477,15.365089822309413
12563,-61.474869706820364,15.365085375335608
12564,-61.47486703163669,15.36508104252857
12565,-61.47486440513372,15.365076823888295
12566,-61.47486182731146,15.365072719414783
12567,-61.47485929816994,15.36506872910804
12568,-61.47485681770913,15.365064852968061
12569,-61.47485438592905,15.365061090994846
12570,-61.47485200282968,15.365057443188396
12571,-61.47484966841103,15.36505390954871
12572,-61.47484738267308,15.36505049007579
12573,-61.47484514561588,15.365047184769637
12574,-61.47484295723938,15.365043993630243
12575,-61.4748408175436,15.365040916657618
12576,-61.47483872652854,15.365037953851754
12577,-61.47483668419421,15.365035105212662
12578,-61.47483469054059,15.365032370740327
12579,-61.47483274556769,15.365029750434761
12580,-61.4748308492755,15.36502724429596
12581,-61.47482900166404,15.365024852323923
12582,-61.474827202733294,15.365022574518651
12583,-61.47482545248327,15.365020410880142
12584,-61.47482375091397,15.365018361408401
12585,-61.474822098025385,15.365016426103423
12586,-61.47482049381751,15.365014604965209
12587,-61.474818938290355,15.365012897993758
12588,-61.47481743144393,15.36501130518908
12589,-61.474815973278226,15.365009826551159
12590,-61.474814563793224,15.365008462080006
12591,-61.47481320298895,15.365007211775616
12592,-61.474811890865396,15.365006075637995
12593,-61.474810627422556,15.365005053667133
12594,-61.47480941266045,15.365004145863038
12595,-61.47480824657905,15.36500335222571
12596,-61.47480712917837,15.365002672755146
12597,-61.474806060458405,15.365002107451343
12598,-61.47480504041916,15.365001656314309
12599,-61.47480406906064,15.36500131934404
12600,-61.47480314638285,15.365001096540535
12601,-61.47480227238576,15.365000987903793
12602,-61.47480144706938,15.365000993433817
12603,-61.47480067043374,15.365001113130605
12604,-61.47479994247881,15.365001346994157
12605,-61.4747992632046,15.365001695024478
12606,-61.47479863261112,15.365002157221562
12607,-61.474798050698325,15.365002733585406
12608,-61.47479751746628,15.36500342411602
12609,-61.474797032914964,15.365004228813401
12610,-61.47479659704433,15.365005147677541
12611,-61.474796209854446,15.365006180708452
